CaseID,ThermoID,ThermoValue
338,THERMOf,16
338,THERMOg,25
338,THERMOh,23
342,THERMOa,1
342,THERMOb,59
342,THERMOc,58
342,THERMOd,46
342,THERMOe,57
342,THERMOf,42
342,THERMOg,1
342,THERMOh,23
343,THERMOa,1
343,THERMOb,47
343,THERMOc,58
343,THERMOd,54
343,THERMOe,53
343,THERMOf,37
343,THERMOg,31
343,THERMOh,23
346,THERMOa,1
346,THERMOb,37
346,THERMOc,43
346,THERMOd,10
346,THERMOe,50
346,THERMOf,46
346,THERMOg,25
346,THERMOh,10
347,THERMOa,1
347,THERMOb,59
347,THERMOc,58
347,THERMOd,1
347,THERMOe,38
347,THERMOf,46
347,THERMOg,1
347,THERMOh,1
349,THERMOa,61
349,THERMOb,14
349,THERMOc,12
349,THERMOd,58
349,THERMOe,10
349,THERMOf,21
