CaseID,StructureID,StructureValue
54,GSSTRUST2_order,order 1
54,SNSSKEP_order,order 2
54,QBELIEF3_order,order 2
54,QBELIEF4_order,order 2
54,TWKNOW_order,order 1
54,TWAUTO_order,order 1
54,JOKE1_order,order 1
54,CHOICE1_order,order 2
54,WOMENOPPS_order,order 2
54,FAIRTRT_order,order 1
54,TALKREL_order,order 2
55,SOCTRUST2_order,order 2
55,CONGPOST_order,
55,GSSTRUST3_order,order 2
55,POLCRCT_order,order 1
55,ECONFAIR2_order,order 1
55,IMMCULT2_order,order 2
55,GSSTRUST2_order,order 1
55,SNSSKEP_order,order 1
55,QBELIEF3_order,order 2
55,QBELIEF4_order,order 2
55,TWKNOW_order,order 2
55,TWAUTO_order,order 1
55,JOKE1_order,order 2
55,CHOICE1_order,order 1
55,WOMENOPPS_order,order 2
55,FAIRTRT_order,order 1
55,TALKREL_order,order 1
108,SOCTRUST2_order,order 2
108,CONGPOST_order,order 1
108,GSSTRUST3_order,order 2
108,POLCRCT_order,order 2
108,ECONFAIR2_order,order 2
108,IMMCULT2_order,order 1
108,GSSTRUST2_order,order 2
108,SNSSKEP_order,order 1
108,QBELIEF3_order,order 1
108,QBELIEF4_order,order 1
108,TWKNOW_order,order 1
108,TWAUTO_order,order 1
108,JOKE1_order,order 1
108,CHOICE1_order,order 2
108,WOMENOPPS_order,order 1
108,FAIRTRT_order,order 2
108,TALKREL_order,order 2
111,SOCTRUST2_order,order 2
111,CONGPOST_order,order 2
111,GSSTRUST3_order,order 1
111,POLCRCT_order,order 2
111,ECONFAIR2_order,order 2
111,IMMCULT2_order,order 2
111,GSSTRUST2_order,order 1
111,SNSSKEP_order,order 2
111,QBELIEF3_order,order 1
111,QBELIEF4_order,order 1
111,TWKNOW_order,order 2
111,TWAUTO_order,order 2
111,JOKE1_order,order 2
111,CHOICE1_order,order 2
111,WOMENOPPS_order,order 1
111,FAIRTRT_order,order 2
111,TALKREL_order,order 2
112,SOCTRUST2_order,order 2
112,CONGPOST_order,
112,GSSTRUST3_order,order 2
112,POLCRCT_order,order 2
112,ECONFAIR2_order,order 2
112,IMMCULT2_order,order 1
112,GSSTRUST2_order,order 2
112,SNSSKEP_order,order 1
112,QBELIEF3_order,order 1
112,QBELIEF4_order,order 1
112,TWKNOW_order,order 2
112,TWAUTO_order,order 1
112,JOKE1_order,order 2
112,CHOICE1_order,order 2
112,WOMENOPPS_order,order 1
112,FAIRTRT_order,order 1
112,TALKREL_order,order 1
113,SOCTRUST2_order,order 2
113,CONGPOST_order,order 1
113,GSSTRUST3_order,order 1
113,POLCRCT_order,order 2
113,ECONFAIR2_order,order 2
113,IMMCULT2_order,order 2
113,GSSTRUST2_order,order 2
113,SNSSKEP_order,order 2
113,QBELIEF3_order,order 1
113,QBELIEF4_order,order 1
113,TWKNOW_order,order 2
113,TWAUTO_order,order 2
113,JOKE1_order,order 2
113,CHOICE1_order,order 1
113,WOMENOPPS_order,order 1
113,FAIRTRT_order,order 1
113,TALKREL_order,order 2
114,SOCTRUST2_order,order 1
114,CONGPOST_order,order 1
114,GSSTRUST3_order,order 2
114,POLCRCT_order,order 1
114,ECONFAIR2_order,order 2
114,IMMCULT2_order,order 1
114,GSSTRUST2_order,order 2
114,SNSSKEP_order,order 2
114,QBELIEF3_order,order 1
114,QBELIEF4_order,order 1
114,TWKNOW_order,order 2
114,TWAUTO_order,order 2
114,JOKE1_order,order 2
114,CHOICE1_order,order 1
114,WOMENOPPS_order,order 2
114,FAIRTRT_order,order 1
114,TALKREL_order,order 2
115,SOCTRUST2_order,order 1
115,CONGPOST_order,order 2
115,GSSTRUST3_order,order 2
115,POLCRCT_order,order 1
115,ECONFAIR2_order,order 1
